symbol,name,lastsale,marketcap,adr_tso,ipoyear,sector,industry,summary_quote,serialid
PIH,1347 Property Insurance Holdings Inc.,7.1,42293038.6,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih,1
TURN,180 Degree Capital Corp.,1.5979,49729143.9198,n/a,n/a,Finance,Finance/Investors Services,http://www.nasdaq.com/symbol/turn,2
FLWS,1-800 FLOWERS.COM Inc.,10.5,688475109,n/a,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws,3
FCCY,1st Constitution Bancorp (NJ),18,144492156,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy,4
SRCE,1st Source Corporation,48.7,1262481268,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce,5
VNET,21Vianet Group Inc.,5.2,301415223.2,57964466,n/a,Technology,Computer Software: Programming Data Processing,http://www.nasdaq.com/symbol/vnet,6
TWOU,2U Inc.,42.88,2038287121.28,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou,7
JOBS,51job Inc.,42.5,1138718267.5,26793371,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs,8
CAFD,8point3 Energy Partners LP,12.74,1007439795.18,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cafd,9
EGHT,8x8 Inc,13.2,1200313461.6,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght,10
AVHI,A V Homes Inc.,17.15,384880111.35,n/a,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi,11
SHLM,A. Schulman Inc.,30.4,896406593.6,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm,12
AAON,AAON Inc.,36.25,1907832497.5,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon,13
ABAX,ABAXIS Inc.,47.68,1074707200,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax,14
ABEO,Abeona Therapeutics Inc.,5.55,223415705.1,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeo,15
ABEOW,Abeona Therapeutics Inc.,2.77,0,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeow,16
ABIL,Ability Inc.,0.79,20347352.18,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/abil,17
ABMD,ABIOMED Inc.,133.03,5792038400.2,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd,18
AXAS,Abraxas Petroleum Corporation,1.72,281812118.6,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas,19
ACIU,AC Immune SA,9,512300178,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aciu,20
ACIA,Acacia Communications Inc.,47.52,1832911644.96,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/acia,21
ACTG,Acacia Research Corporation,4.85,247993323.4,n/a,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg,22
ACHC,Acadia Healthcare Company Inc.,44.99,3950927905.87,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc,23
ACAD,ACADIA Pharmaceuticals Inc.,32.74,3994955360.72,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad,24
ACST,Acasti Pharma Inc.,1.33,19554399.48,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst,25
AXDX,Accelerate Diagnostics Inc.,29.5,1533685648,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx,26
ACCP,Accelerated Pharma Inc.,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/accp,27
XLRN,Acceleron Pharma Inc.,31.66,1222515820.72,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn,28
ANCX,Access National Corporation,28.84,310510993.52,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx,29
ARAY,Accuray Incorporated,4.15,344023824.05,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray,30
ACRX,AcelRx Pharmaceuticals Inc.,2.7,122528006.1,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx,31
ACET,Aceto Corporation,14.285,430174790.185,n/a,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/acet,32
AKAO,Achaogen Inc.,24.1,863937523,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akao,33
ACHN,Achillion Pharmaceuticals Inc.,3.71,507245776.59,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn,34
ACIW,ACI Worldwide Inc.,23.83,2812949843.91,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw,35
ACRS,Aclaris Therapeutics Inc.,26.07,696942162.51,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrs,36
ACNB,ACNB Corporation,31.2,189201105.6,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb,37
ACOR,Acorda Therapeutics Inc.,16.05,750469768.05,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor,38
SQZZ,Active Alts Contrarian ETF,25.09,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sqzz,39
ATVI,Activision Blizzard Inc,53.83,40564498690.8,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi,40
ACTA,Actua Corporation,14.1,467721012.3,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acta,41
ACXM,Acxiom Corporation,28.87,2262912215.49,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm,42
ADMS,Adamas Pharmaceuticals Inc.,17.4,388402521.6,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adms,43
ADMP,Adamis Pharmaceuticals Corporation,3.5,79221495.5,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/admp,44
ADAP,Adaptimmune Therapeutics plc,5.28,171892110.72,32555324,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adap,45
ADUS,Addus HomeCare Corporation,36.15,419466091.2,n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus,46
AEY,ADDvantage Technologies Group Inc.,1.7999,18240609.5765,n/a,n/a,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/aey,47
IOTS,Adesto Technologies Corporation,5.6,88108770.4,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/iots,48
ADMA,ADMA Biologics Inc,4.51,58119201.91,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adma,49
ADBE,Adobe Systems Incorporated,134.84,66705077780.64,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe,50
ADTN,ADTRAN Inc.,20.1,970937012.4,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn,51
ADRO,Aduro Biotech Inc.,10.15,709580856.6,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adro,52
AAAP,Advanced Accelerator Applications S.A.,37.78,1531421707.22,40535249,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aaap,53
ADES,Advanced Emissions Solutions Inc.,9.39,211110487.2,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ades,54
AEIS,Advanced Energy Industries Inc.,74.55,2965090643.55,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeis,55
AMD,Advanced Micro Devices Inc.,10.19,9592853089.27,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd,56
ADXS,Advaxis Inc.,7.99,321959918.41,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxs,57
ADXSW,Advaxis Inc.,4.19,0,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxsw,58
ADVM,Adverum Biotechnologies Inc.,2.85,122168621.55,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/advm,59
MAUI,AdvisorShares Market Adaptive Unconstrained Income ETF,24.458,1222900,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/maui,60
AEGN,Aegion Corp,20.1,679029054,n/a,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/aegn,61
AGLE,Aeglea BioTherapeutics Inc.,6.51,87574212.6,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agle,62
AEHR,Aehr Test Systems,3.99,84625154.88,n/a,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/aehr,63
AMTX,Aemetis Inc,1.18,23241807.46,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amtx,64
AERI,Aerie Pharmaceuticals Inc.,40.25,1353795588.25,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aeri,65
AVAV,AeroVironment Inc.,28.96,679266849.12,n/a,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/avav,66
AEZS,AEterna Zentaris Inc.,0.89,12285353.52,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aezs,67
AEMD,Aethlon Medical Inc.,2.21,19441560.06,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/aemd,68
GNMX,Aevi Genomic Medicine Inc.,1.65,61231240.95,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/gnmx,69
AFMD,Affimed N.V.,2.2,96664429.4,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/afmd,70
AGEN,Agenus Inc.,3.78,371681941.68,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agen,71
AGRX,Agile Therapeutics Inc.,3.37,97077561.26,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agrx,72
AGYS,Agilysys Inc.,10.03,232983459.8,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/agys,73
AGIO,Agios Pharmaceuticals Inc.,49.98,2363295353.58,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agio,74
AGNC,AGNC Investment Corp.,20.19,6682890000,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agnc,75
AGNCB,AGNC Investment Corp.,26.19,9073527673.77,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncb,76
AGNCP,AGNC Investment Corp.,25.94,0,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncp,77
AGFS,AgroFresh Solutions Inc.,5.58,282926015.46,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/agfs,78
AGFSW,AgroFresh Solutions Inc.,0.492,0,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/agfsw,79
AIMT,Aimmune Therapeutics Inc.,19.26,969079881.24,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aimt,80
AIRT,Air T Inc.,19.5,39834385.5,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/airt,81
ATSG,Air Transport Services Group Inc,22.99,1369917751.51,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/atsg,82
AIRG,Airgain Inc.,13.81,131030067.17,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/airg,83
AMCN,AirMedia Group Inc,2.3,100900275.5,43869685,n/a,Technology,Advertising,http://www.nasdaq.com/symbol/amcn,84
AKAM,Akamai Technologies Inc.,52.13,9050250932.32,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/akam,85
AKTX,Akari Therapeutics Plc,13.18,154578690.86,11728277,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aktx,86
AKBA,Akebia Therapeutics Inc.,12.62,490029085.06,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akba,87
AKER,Akers Biosciences Inc,1.55,13723304.75,n/a,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/aker,88
AKRX,Akorn Inc.,33.08,4119571653.4,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akrx,89
AKTS,Akoustis Technologies Inc.,9.675,175804241.175,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/akts,90
ALRM,Alarm.com Holdings Inc.,33.45,1548979686.75,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/alrm,91
ALSK,Alaska Communications Systems Group Inc.,2.18,114103676.48,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/alsk,92
AMRI,Albany Molecular Research Inc.,15.6,669738841.2,n/a,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/amri,93
ALBO,Albireo Pharma Inc.,21,132145524,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/albo,94
ABDC,Alcentra Capital Corp.,14.28,192724707.84,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abdc,95
ADHD,Alcobra Ltd.,1.19,32797494.8,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adhd,96
ALDR,Alder BioPharmaceuticals Inc.,20.75,1046017003.5,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldr,97
ALDX,Aldeyra Therapeutics Inc.,3.95,59770926,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldx,98
ALXN,Alexion Pharmaceuticals Inc.,128.82,28927373740.44,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxn,99
ALCO,Alico Inc.,30.25,252007335.25,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/alco,100
ALGN,Align Technology Inc.,138.03,11087046217.59,n/a,n/a,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/algn,101
ALIM,Alimera Sciences Inc.,1.53,99240243.12,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alim,102
ALJJ,ALJ Regional Holdings Inc.,3.34,115479300.94,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/aljj,103
ALKS,Alkermes plc,59.69,9143941004.69,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alks,104
ABTX,Allegiance Bancshares Inc.,39.4,517544610,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/abtx,105
ALGT,Allegiant Travel Company,147.45,2453102500.35,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/algt,106
AIQ,Alliance HealthCare Services Inc.,13.1,141986367.4,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aiq,107
AHGP,Alliance Holdings GP L.P.,29.39,1759373570,n/a,n/a,Energy,Coal Mining,http://www.nasdaq.com/symbol/ahgp,108
AMMA,Alliance MMA Inc.,1.69,15893540.78,n/a,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/amma,109
ARLP,Alliance Resource Partners L.P.,22.85,1704542272.6,n/a,n/a,Energy,Coal Mining,http://www.nasdaq.com/symbol/arlp,110
AHPI,Allied Healthcare Products Inc.,1.77,7103960.49,n/a,n/a,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/ahpi,111
AMOT,Allied Motion Technologies Inc.,25.28,236983568,n/a,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/amot,112
ALQA,Alliqua BioMedical Inc.,0.39,17782157.25,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/alqa,113
ALLT,Allot Communications Ltd.,4.81,159280167.8,n/a,n/a,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/allt,114
MDRX,Allscripts Healthcare Solutions Inc.,12.38,2246530423.34,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/mdrx,115
AFAM,Almost Family Inc,49.7,689850860.3,n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/afam,116
ALNY,Alnylam Pharmaceuticals Inc.,55.07,4738914369.06,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alny,117
AOSL,Alpha and Omega Semiconductor Limited,18.76,442844151.4,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/aosl,118
GOOG,Alphabet Inc.,927.13,641677092086.94,n/a,n/a,Technology,Computer Software: Programming Data Processing,http://www.nasdaq.com/symbol/goog,119
GOOGL,Alphabet Inc.,950.28,657354862458.84,n/a,n/a,Technology,Computer Software: Programming Data Processing,http://www.nasdaq.com/symbol/googl,120
SMCP,AlphaMark Actively Managed Small Cap ETF,24.05,26454398.75,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/smcp,121
ATEC,Alphatec Holdings Inc.,2.09,22633916.25,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atec,122
SWIN,ALPS/Dorsey Wright Sector Momentum ETF,26.37,5274052.74,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/swin,123
ALT,Altimmune Inc.,7.91,6328000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alt,124
ASPS,Altisource Portfolio Solutions S.A.,18.38,338787861.22,n/a,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/asps,125
AIMC,Altra Industrial Motion Corp.,43.3,1251370000,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aimc,126
AMAG,AMAG Pharmaceuticals Inc.,19.1,667343456.8,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amag,127
AMRN,Amarin Corporation plc,2.9,761630430.7,262631183,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amrn,128
AMRK,A-Mark Precious Metals Inc.,17.07,120026851.5,n/a,n/a,Basic Industries,Other Specialty Stores,http://www.nasdaq.com/symbol/amrk,129
AYA,Amaya Inc.,17.85,2613754383.45,n/a,n/a,Technology,Computer Software: Programming Data Processing,http://www.nasdaq.com/symbol/aya,130
AMZN,Amazon.com Inc.,934.15,446500812390.85,n/a,n/a,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/amzn,131
AMBC,Ambac Financial Group Inc.,18.38,831308009.1,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambc,132
AMBCW,Ambac Financial Group Inc.,9.07,0,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambcw,133
AMBA,Ambarella Inc.,58.24,1952866231.68,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amba,134
AMCX,AMC Networks Inc.,56.19,3766503075.45,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/amcx,135
DOX,Amdocs Limited,62.07,9105172440,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/dox,136
AMDA,Amedica Corporation,0.37,13418005.97,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/amda,137
AMED,Amedisys Inc,58.98,1986064445.52,n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amed,138
UHAL,Amerco,369.46,7244293354.48,n/a,n/a,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/uhal,139
ATAX,America First Multifamily Investors L.P.,5.7,343279866.6,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/atax,140
AMOV,America Movil S.A.B. de C.V.,15.23,50105177000,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amov,141
AAL,American Airlines Group Inc.,44.51,21925128289.18,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/aal,142
ACSF,American Capital Senior Floating Ltd.,13.25,132501325,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acsf,143
AETI,American Electric Technologies Inc.,1.7464,14557934.5152,n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeti,144
AMNB,American National Bankshares Inc.,37.55,324384837.2,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amnb,145
ANAT,American National Insurance Company,116.39,3134046914.85,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/anat,146
AOBC,American Outdoor Brands Corporation,21.47,1228084000,n/a,n/a,Capital Goods,Ordnance And Accessories,http://www.nasdaq.com/symbol/aobc,147
APEI,American Public Education Inc.,22.475,364542836.85,n/a,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apei,148
ARII,American Railcar Industries Inc.,38.73,739118594.94,n/a,n/a,Capital Goods,Railroads,http://www.nasdaq.com/symbol/arii,149
AMRB,American River Bankshares,14.97,97993006.23,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amrb,150
AMSWA,American Software Inc.,11.01,324469973.79,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/amswa,151
AMSC,American Superconductor Corporation,4,56879940,n/a,n/a,Consumer Durables,Metal Fabrications,http://www.nasdaq.com/symbol/amsc,152
AMWD,American Woodmark Corporation,94.1,1527490012.5,n/a,n/a,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/amwd,153
CACG,ClearBridge All Cap Growth ETF,24.95,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cacg,154
CRMT,America&#39;s Car-Mart Inc.,36.3,283036109.4,n/a,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/crmt,155
ABCB,Ameris Bancorp,47,1745170724,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/abcb,156
AMSF,AMERISAFE Inc.,55.9,1074964546.5,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/amsf,157
ASRV,AmeriServ Financial Inc.,4.1,76532732,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asrv,158
ASRVP,AmeriServ Financial Inc.,27.5,0,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asrvp,159
ATLO,Ames National Corporation,30.85,287241666.05,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/atlo,160
AMGN,Amgen Inc.,163.81,120465731157.68,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/amgn,161
FOLD,Amicus Therapeutics Inc.,6.91,986952052.3,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fold,162
AMKR,Amkor Technology Inc.,11.85,2832324503.1,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amkr,163
AMPH,Amphastar Pharmaceuticals Inc.,15,687968325,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amph,164
IBUY,Amplify Online Retail ETF,32.25,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ibuy,165
ASYS,Amtech Systems Inc.,7.23,95288038.05,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/asys,166
AFSI,AmTrust Financial Services Inc.,15.6,2668810310.4,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afsi,167
AMRS,Amyris Inc.,0.5379,154093866.5046,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amrs,168
ADI,Analog Devices Inc.,75.79,27670225517.22,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/adi,169
ALOG,Analogic Corporation,73.2,914208634.8,n/a,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/alog,170
ANAB,AnaptysBio Inc.,26.14,527341563.6,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anab,171
AVXL,Anavex Life Sciences Corp.,5.99,247842605.39,n/a,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/avxl,172
ANCB,Anchor Bancorp,25.1,62862197,n/a,n/a,Finance,Banks,http://www.nasdaq.com/symbol/ancb,173
ANDA,Andina Acquisition Corp. II,10.15,53896500,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/anda,174
ANDAR,Andina Acquisition Corp. II,0.549,0,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/andar,175
ANDAU,Andina Acquisition Corp. II,10.9,0,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/andau,176
ANDAW,Andina Acquisition Corp. II,0.2698,0,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/andaw,177
ANGI,Angie&#39;s List Inc.,10.71,639446761.8,n/a,n/a,Consumer Services,Advertising,http://www.nasdaq.com/symbol/angi,178
ANGO,AngioDynamics Inc.,15.64,575375221.08,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ango,179
ANIP,ANI Pharmaceuticals Inc.,48.02,557058411,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anip,180
ANIK,Anika Therapeutics Inc.,44.75,655792902.5,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/anik,181
ANSS,ANSYS Inc.,121.2,10370156820,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/anss,182
ATRS,Antares Pharma Inc.,2.99,465227952.67,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atrs,183
ANTH,Anthera Pharmaceuticals Inc.,2.17,2724050.91,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anth,184
ABAC,Aoxin Tianli Group Inc.,1.69,13500134.05,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/abac,185
APOG,Apogee Enterprises Inc.,55.26,1584836685.36,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/apog,186
APEN,Apollo Endosurgery Inc.,6.17,63519619.38,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/apen,187
AINV,Apollo Investment Corporation,6.62,1454378609.48,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ainv,188
AMEH,Apollo Medical Holdings Inc.,9.69,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ameh,189
APPF,AppFolio Inc.,26,878499726,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/appf,190
